@relation Steps_Dataset_70ms-weka.filters.unsupervised.attribute.Remove-R1

@attribute duration numeric
@attribute 'acceleration variance' numeric
@attribute 'acceleration peek' numeric
@attribute 'acceleration max-min' numeric
@attribute RMS numeric
@attribute RMS*duration numeric
@attribute gait {jogging,running,walking}

@data
140,531.950951,48.908864,42.726192,29.361408,4110.597059,running
420,479.094067,60.414824,52.899607,31.08312,13054.910503,running
630,285.725321,47.420884,44.396894,26.61674,16768.546017,running
630,257.804366,52.727,46.631262,28.214708,17775.266158,running
420,337.69569,53.361676,48.221294,27.312397,11471.206744,running
280,395.127185,55.603072,52.121581,28.029607,7848.289966,running
420,246.966392,46.146748,41.164463,24.828083,10427.794843,running
280,103.473873,29.07134,23.639068,20.245544,5668.752185,running
700,185.436803,44.85377,39.136683,24.372584,17060.808686,running
140,182.287324,34.324516,26.595669,22.555661,3157.792487,running
280,297.949739,47.500477,42.433465,23.142046,6479.772834,running
140,501.309814,46.739142,43.408192,28.496803,3989.552464,running
420,426.708327,55.916833,52.322109,28.275244,11875.602303,running
280,278.24106,46.630739,41.48525,23.014179,6443.970113,running
280,354.979918,51.231064,46.026028,24.90053,6972.148415,running
280,304.650191,47.952155,47.132086,24.495526,6858.747227,running
280,122.16428,33.471795,30.086068,18.285902,5120.052461,running
420,222.523519,39.487893,35.495401,23.945243,10057.002239,running
140,457.75573,46.120663,37.835914,27.650431,3871.060342,running
420,264.660913,53.290809,45.067833,25.416759,10675.038755,running
140,398.875627,44.371256,38.558061,27.450077,3843.010838,running
910,291.441501,54.951075,53.394846,27.747528,25250.250435,running
840,108.913594,46.415097,37.765547,23.070549,19379.260888,running
350,302.636858,53.849778,49.153253,29.193634,10217.771878,running
140,658.459192,53.496493,47.307054,31.933493,4470.689049,running
280,92.974986,29.255437,22.674526,19.236464,5386.209827,running
350,191.420449,42.74073,37.453501,24.442509,8554.87824,running
280,382.2495,53.982883,49.49854,29.428996,8240.118805,running
280,397.327513,54.592353,46.119269,29.707042,8317.971699,running
280,319.745397,52.084243,46.78114,28.585673,8003.98849,running
490,179.250552,47.017303,39.039243,24.31078,11912.282019,running
280,158.614226,37.836749,31.220607,19.613896,5491.890814,running
420,121.237119,40.042771,34.178119,19.893063,8355.086413,running
560,12.95939,15.899087,10.543536,10.841655,6071.326721,walking
560,14.365992,16.735564,10.676334,11.153433,6245.922594,walking
490,15.099709,14.554349,9.583213,10.717025,5251.342313,walking
490,15.686512,15.348641,10.132637,10.781363,5282.867985,walking
420,12.99396,13.982634,8.7482,9.991993,4196.637011,walking
490,12.59513,13.587457,8.633431,10.534337,5161.824925,walking
490,11.749579,13.660011,8.48608,10.321085,5057.331585,walking
490,13.592092,14.127973,8.46415,10.676166,5231.321564,walking
490,17.476186,16.377309,11.262382,10.949177,5365.096697,walking
490,11.293241,13.906987,8.743658,10.255647,5025.267098,walking
490,14.529942,15.911869,10.876799,10.80843,5296.130658,walking
490,12.333063,14.541815,9.746642,10.500651,5145.319032,walking
490,11.621672,13.643146,8.481278,10.581464,5184.917404,walking
490,11.916628,13.390639,8.332574,10.528749,5159.087023,walking
490,12.756016,14.515206,9.037948,10.574663,5181.584885,walking
490,14.324839,14.419501,9.298693,10.777481,5280.965446,walking
490,17.371066,16.531392,11.394523,10.900378,5341.185072,walking
630,12.848507,15.922802,10.739707,10.92959,6885.641566,walking
490,11.329847,14.431248,9.129016,10.311705,5052.735448,walking
490,12.352422,14.672915,8.52571,10.679896,5233.148897,walking
490,16.853456,15.26378,10.79891,10.82268,5303.113306,walking
420,20.332074,16.165559,11.932727,10.593088,4449.096847,walking
490,21.316472,16.412418,12.586892,11.287283,5530.76866,walking
280,11.812556,16.052079,7.566394,12.553868,3515.083034,walking
420,15.11529,17.204244,12.717686,11.093455,4659.250992,walking
420,26.027653,16.080554,12.489819,11.093411,4659.232613,walking
